username,natives,learning
clau_claudia,Romanian,"English (US),Korean,Spanish (Spain)"
Natalia17066,Polish,English (UK)
dusya,Russian,"English (UK),English (US)"
TinaaNinaa,"Croatian,German","English (UK),English (US),Korean"
ethereal_day6,English (US),"Japanese,Korean"
khontha,English (US),English (US)
jkwiatkowska62,Polish,"English (US),German,Norwegian (bokmal)"
Klucha19,Polish,English (US)
strzelba1,Polish,"English (US),Japanese"
chelsy33,Simplified Chinese (China),English (US)
ralph_a_chan,"German,Tagalog,English (US)","French (France),Japanese,Spanish (Spain)"
hikari_n,Japanese,English (US)
lucas01234,Japanese,"English (US),Portuguese (Brazil)"
Hansol2455,Korean,English (US)
DatWeirdSpud,"English (US),Tagalog,Traditional Chinese (Hong Kong)","Japanese,Korean,Simplified Chinese (China),Thai"
Happy101,English (UK),Korean
julkax,Polish,"English (UK),French (France),German,Swedish"
rezct34,Russian,"English (US),Japanese"
handance,Polish,"English (UK),Norwegian (bokmal)"
phenriquepagodeiro,Portuguese (Brazil),English (US)
byzdrapatryk,Polish,English (UK)
Celes_lockheart,English (US),Japanese
Kyakaya,"English (US),Swedish","Japanese,Korean,Spanish (Spain),Thai"
eskoheinila,Finnish,Portuguese (Brazil)
nicoleondakova,Slovak,"English (US),Japanese,Korean"
Zivakpopsugajimin22,"English (UK),English (US),Slovenian","English (US),Korean"
anjiunicorn_kpop,"English (US),German","Japanese,Korean"
alaysia_immani,English (US),French (France)
yumiyu,"Traditional Chinese (Hong Kong),Traditional Chinese (Taiwan)","English (UK),English (US),Korean"
hi-ro,Japanese,"English (US),German"
Biaaa,Romanian,"Italian,Traditional Chinese (Taiwan),Spanish (Spain),English (UK),English (US)"
__DavidAguilar,"Spanish (Mexico),Spanish (Colombia),Spanish (Spain)","English (US),German"
carskeeh,"English (US),Tagalog","English (US),French (Canada),Hebrew,Korean"
wangfan01,English (US),English (US)
Dabb,"English (US),Tagalog","French (France),Korean"
Bianca_Rose,"English (US),Spanish (Mexico)","French (France),Italian,Japanese,Korean,Russian"
LittleAmanda,Polish,"English (UK),French (France),Spanish (Spain),Vietnamese"
jeghetermagda,Polish,"English (US),Norwegian (bokmal)"
Rose555,Polish,"Dutch,English (UK),English (US),French (France),Georgian,German,Greek,Italian,Spanish (Spain),Vietnamese"
Gracyy98,English (US),Japanese
klosinskirafal,Polish,"English (UK),French (France),Portuguese (Brazil)"
pitufo54321,English (UK),German
mariafelixmfld,Spanish (Mexico),English (US)
bigabiga,Korean,Japanese
ASHIN97,English (US),English (US)
Kani_56,Hindi,"English (UK),English (US)"
_sreberko,Polish,"English (US),Korean"
01280801764,English (US),Arabic
vichkavishnya,Russian,"English (US),German,Japanese,Korean,Simplified Chinese (China)"
kczabala12,"English (US),Tagalog","Russian,Simplified Chinese (China)"
sagisnyder,"Polish,Swedish","English (US),French (France),Russian,Spanish (Spain)"
NahoChan,Polish,"English (UK),English (US),German"
Outlander,Russian,"English (US),Kazakh,Korean"
yiyi1217,"English (UK),Simplified Chinese (China),Traditional Chinese (Hong Kong)","French (France),Japanese,Korean,Spanish (Spain),Thai"
TheMost,Spanish (Spain),"English (US),French (France),English (UK)"
jcjune77,Simplified Chinese (China),Korean
Dayna12321,English (US),Korean
vncccz,"English (US),Tagalog","Spanish (Mexico),Tagalog"
fgh50623,Traditional Chinese (Taiwan),"English (US),Japanese"
meelllins,Portuguese (Brazil),Korean
20205455,Traditional Chinese (Taiwan),"English (US),Japanese"
maykanko,Japanese,English (US)
YoyoItsjulia,English (US),Korean
leoramsey,English (US),"English (US),Korean"
jchu,English (US),English (US)
Janghoo,Korean,English (US)
Marcelinka,"English (US),Polish",German
kasiczek93,Polish,"Korean,Japanese"
isagutiguz,Spanish (Spain),"English (US),French (France),German"
maksimBIOS,Russian,English (US)
kiwwwi,Korean,English (US)
Trangcfc,Vietnamese,English (US)
All666_,Russian,English (US)
proone191,Russian,Korean
sharesmile,Simplified Chinese (China),English (US)
sharesmile,Simplified Chinese (China),English (US)
sozer,Turkish,English (UK)
briellelovesjimin,"English (US),Spanish (Spain)","Korean,French (France),Russian"
xoolczix,"English (US),Polish","English (US),French (France)"
Hairo,Spanish (Mexico),"French (France),English (UK)"
LiD71,Spanish (Mexico),"English (UK),French (France),Italian,Japanese"
maddoxwd,English (US),Japanese
tanyadaydream,"Russian,Ukrainian","English (US),German,Norwegian (bokmal),Norwegian (nynorsk)"
wonjun,Korean,English (UK)
brad103717,Traditional Chinese (Taiwan),Japanese
kinw8,English (US),English (US)
greatso29,Korean,English (US)
Polskadziewczyna,Polish,"English (UK),Japanese"
yeahilikestars,English (US),"French (France),German,Italian,Korean,Spanish (Spain)"
michalskasara98,Polish,"English (US),Japanese,Korean,Simplified Chinese (China)"
JJ_kawaiiWolf,English (US),Korean
maria_alicia_,Russian,"English (UK),English (US)"
belazaras,"English (US),Spanish (Chile)","Swedish,German,Japanese"
chank319,Traditional Chinese (Taiwan),Japanese
kihyxun,Polish,English (US)
belenmy,English (US),Malay
jomican,Spanish (Spain),English (US)
ahmed9908,Arabic,"English (US),Japanese,Korean"
Baocat,Vietnamese,Japanese
bruceissoconfused,English (US),"French (France),Japanese,Spanish (Spain)"
Banellee,English (US),Japanese
Pandaaa738,Polish,"French (France),Italian"
kawaaan,Japanese,English (US)
tsmoots,English (US),"Korean,Tagalog"
PolishHelped,Polish,"English (US),Japanese"
leesterine,"English (US),Tagalog",Korean
kirigaya200116,Russian,Japanese
Elena1618,Italian,"Korean,Japanese"
hweikei95,Simplified Chinese (China),"English (US),Japanese,Korean"
paolagrace05,"English (US),Tagalog","Korean,Vietnamese"
juanro34,Spanish (Spain),English (UK)
wonderlust,Polish,"English (US),Spanish (Spain)"
JAZcey,Spanish (Mexico),"English (US),Korean"
mmmhanafy,"Arabic,English (US)","German,Italian,Korean,Simplified Chinese (China)"
MishaR,Russian,"English (US),French (France),Spanish (Spain)"
dcmisky,English (US),German
Amanopl,Polish,"English (US),German,Japanese"
casscalinawan,"English (US),Tagalog","French (France),German,Korean"
teen_rose91,English (UK),Korean
nerygonza399,"Guarani,Spanish (Mexico)",English (US)
asmasimari,Arabic,Korean
dereza482,Russian,"English (US),Japanese"
BrigitteGe,French (France),English (US)
Xo_Park_Hwayoung_oX,English (US),"Japanese,Korean,Thai"
Leahklassen,Spanish (Mexico),English (US)
couplee,Japanese,Korean
emiliafilgueiras,Portuguese (Brazil),English (US)
helooheloo9,Arabic,English (US)
simoneas02,Portuguese (Brazil),English (US)
edogawaponan,Japanese,"English (US),Traditional Chinese (Hong Kong)"
IAmAllAlone,"English (UK),Simplified Chinese (China),Traditional Chinese (Hong Kong)","Dutch,French (France),Georgian,German,Italian,Russian"
maferbante,Spanish (Mexico),"English (UK),Italian"
NastyaAverina,Russian,Korean
Flordorada96,Spanish (Spain),Korean
pastelbubble,"English (UK),English (US)","French (France),Japanese,Korean"
mfritis19,Spanish (Spain),"English (US),German"
jiord,English (US),"Korean,Spanish (Spain)"
pabckhlnfjfy,Russian,"English (US),Korean"
mykeloo,"English (US),Tagalog","Japanese,Traditional Chinese (Taiwan)"
mayrarojascelis,Spanish (Spain),English (US)
Kokololio,"English (US),Spanish (Mexico)","Japanese,Korean"
zainatje,Arabic,English (US)
Malnooshna,English (US),Norwegian (bokmal)
QuangShengZhang,Simplified Chinese (China),Japanese
mochigirl733,French (France),"Korean,English (US)"
regdel,Russian,English (US)
AlexDimitrieva,Russian,"English (US),Norwegian (bokmal)"
Vapman,Spanish (Chile),Japanese
Adiljabal,Arabic,English (US)
frolik_16,Russian,English (US)
vladikgalkin2001,Russian,English (US)
TaehyungsAngel,English (US),"French (France),Japanese,Korean,Spanish (Spain)"
Camily5,Russian,English (US)
Nyakin,Russian,Japanese
Nikka09,Russian,"Japanese,Korean,English (UK)"
rafaelbueno,Spanish (Spain),English (UK)
franekkimono665,Polish,English (US)
zx3242469594,Simplified Chinese (China),"English (US),Japanese"
pbpc1924,Thai,English (US)
rokkuxd,Spanish (Spain),Japanese
Angela777,Russian,English (UK)
goodnicein,Russian,English (UK)
ValeriaYanush,English (US),English (US)
JaszJ,English (US),Japanese
Hoomi,Persian,English (US)
AnastasiaRotmistr,Russian,"English (UK),English (US),French (France),Norwegian (bokmal),Norwegian (nynorsk)"
autokor,English (US),English (UK)
Davidlang8,Simplified Chinese (China),French (Canada)
smolsweaterpaws,"English (US),Urdu","Japanese,Korean,Simplified Chinese (China)"
alinakel12,Russian,Norwegian (bokmal)
BeradzeLiza,Russian,"English (US),Japanese"
loulashes,Spanish (Spain),"English (UK),English (US)"
caramelmochi_,"English (US),Macedonian,Serbian","German,Japanese,Korean,Spanish (Spain)"
OlgaB,Russian,English (US)
Alrunas,Russian,"English (US),Japanese"
omalmor6,Spanish (Mexico),English (US)
123Liya,English (US),English (US)
tomEvo,German,"Catalan,English (US),Tagalog,French (France)"
sol_jordan,Spanish (Spain),"English (US),Japanese"
cadoglover2,English (US),Korean
-JaJa-,English (US),"Korean,Spanish (Mexico)"
Diana_ArmyL,"English (US),French (Canada),Russian","Japanese,Korean,Spanish (Mexico)"
dasha_iushina,Russian,"German,English (UK)"
fong8610212015,Traditional Chinese (Taiwan),English (US)
Mysti,Polish,"English (US),Japanese"
BrendS,Spanish (Mexico),"English (US),Italian"
prosto_artem,"Belarusian,Russian","English (UK),Norwegian (nynorsk)"
PhuongT,Vietnamese,"English (US),Japanese"
juliapiatkowska22,Polish,"German,English (UK),Vietnamese,Bulgarian"
Elvin352,Azerbaijani,Russian
Nespace,Russian,English (US)
Li-Min,Traditional Chinese (Taiwan),Japanese
adi8887,Polish,"English (US),Vietnamese,Portuguese (Portugal)"
Coniwaka,Spanish (Spain),English (US)
IISARAXV,"Arabic,English (UK)","Japanese,Korean"
baizhan88,"Kazakh,Russian","English (US),Korean"
jean828632,Traditional Chinese (Taiwan),"English (UK),German,Japanese"
yzy584,Portuguese (Brazil),"English (US),Korean"
ConiEnglish,English (US),English (US)
evilstalker,English (UK),Swedish
Blackmetalspider666,Italian,Swedish
waten_2233,English (UK),English (US)
emmaredmo,Swedish,Korean
abdo_hussin555,Arabic,English (US)
natzecip,Spanish (Spain),English (US)
danielfdo123,Spanish (Colombia),English (US)
drxlea,English (US),Spanish (Spain)
JowLie,English (US),English (US)
Nikity,Polish,"English (US),German,Japanese"
linaa2001,Arabic,"English (US),Korean"
doente,"Russian,Ukrainian",English (US)
AnaWolf,Spanish (Spain),"English (US),Japanese,Korean"
catalinamaiquez,English (US),Dutch
Julia_Jj,Russian,English (UK)
lovestory0815,Traditional Chinese (Taiwan),"English (US),Japanese,Korean,Simplified Chinese (China)"
Ady68,Spanish (Mexico),"English (US),German"
constgen,Russian,"English (UK),English (US)"
Louxddd,Polish,English (US)
AmarePacem,Polish,"English (US),Japanese,Korean,French (France)"
eugenia1923,Russian,English (US)
DanielaCastro03,Spanish (Colombia),"English (US),German"
lilucakamilla,"Hungarian,Simplified Chinese (China)","English (UK),German"
zjpchristine,Simplified Chinese (China),"English (US),Japanese"
lorrainemillar18,"English (US),Tagalog","French (France),Korean"
Lenocika,Russian,English (US)
suhiabatieh,Arabic,Czech
candy-_-r,"English (US),Spanish (Mexico)","French (France),Korean"
zalesia,Polish,English (US)
kaepjjang,Estonian,Korean
paperpersongreatSR,Spanish (Spain),"English (US),French (France)"
Anastasiya95,Russian,Korean
samH,Spanish (Mexico),"English (US),French (France)"
CinRol,Polish,"English (US),Korean"
CraiGarai,Russian,"English (US),Japanese"
demon13d666,Ukrainian,"English (US),English (UK),Japanese,Korean,Thai,Traditional Chinese (Hong Kong)"
elforon,"Russian,Belarusian","Polish,English (UK),English (US),German,Hungarian,Japanese"
fabio88c,Spanish (Spain),French (France)
laur1197,English (US),Korean
kymob27,English (US),Korean
http_ParkJiminie,German,Korean
Arina_Kofanova,"Russian,Ukrainian",English (US)
nataszamonia,Polish,"English (UK),English (US),Japanese,Simplified Chinese (China),Spanish (Mexico),Spanish (Spain)"
miss_lerka_I,"Russian,Ukrainian","English (US),French (France)"
LizaFlorentseva,Russian,"English (US),Polish"
rogergol002,English (US),Arabic
Angelina777,Russian,English (UK)
JiminsLostJams,Estonian,Korean
nutty143,Polish,English (US)
doaaakrawi04,Swedish,Korean
mdcapps95,English (US),"French (France),Hebrew,Italian,Spanish (Mexico)"
renandantas,Portuguese (Brazil),English (US)
danhnguyen,Vietnamese,English (US)
Sikei16,Russian,English (US)
Megan_unicornmw,English (US),Korean
rkay000sharma,English (US),English (UK)
Alonsoct,Spanish (Spain),"English (UK),English (US),French (France)"
3_greeen_tea_3,Russian,English (US)
jonathanencina,Spanish (Spain),English (US)
RanDomized,English (US),French (France)
filipsmolnicki,Polish,English (UK)
Cpm,"English (US),Traditional Chinese (Hong Kong)","English (UK),English (US)"
sophieday1337,Russian,English (US)
imaidanalujancsa,Spanish (Spain),Danish
elisam2005,Spanish (Spain),English (US)
agnisiag13,Polish,"English (UK),English (US),German,Hungarian"
ysabellearabia,Tagalog,English (US)
beatakz,Polish,"English (US),Korean"
JulioG2017,"English (US),Spanish (Venezuela),English (UK),Spanish (Chile),Spanish (Colombia),Spanish (Mexico),Spanish (Spain)",Japanese
i_really_like_pie,"English (US),German","English (UK),Korean"
inczentra,Polish,"English (US),Japanese"
Kosebrej,Polish,"Arabic,Czech,Portuguese (Portugal),Spanish (Spain)"
kpoptrashiee,Bulgarian,Korean
Panagiotis23,"Russian,Greek",English (UK)
jeffhawkins,English (US),Japanese
angelagarbuz,"Russian,Ukrainian","English (UK),English (US)"
s927825a,Traditional Chinese (Taiwan),English (US)
vektor4131,Russian,English (US)
milaheon,French (France),Korean
laslie28,Hungarian,"English (UK),German,Japanese"
pani,Thai,"English (UK),English (US)"
xxxKittyzxx,"English (US),Norwegian (bokmal)","Korean,Tagalog"
losiha1623,Russian,English (US)
xhisto,Spanish (Spain),English (US)
sweetdeath326,Spanish (Spain),"Japanese,Korean,English (US)"
Kawaii_Masta777,"English (US),Nepali","Korean,Nepali"
takiezycue,Polish,English (US)
vanesamr,Spanish (Spain),English (US)
edsonferreira132ef,Portuguese (Portugal),"English (US),Japanese"
nniiccooll,Spanish (Spain),English (US)
budjoy7,Polish,German
eroglumehmetgokhan,Turkish,"English (US),German,Japanese,Portuguese (Brazil),Russian"
goomphs,Spanish (Spain),English (US)
Kev_Sinclair,"Simplified Chinese (China),Traditional Chinese (Taiwan)","Croatian,Spanish (Spain),English (UK)"
elsaqwn,Russian,"English (UK),English (US)"
emotrash1536,"Polish,English (UK)","Norwegian (bokmal),Norwegian (nynorsk)"
nat_752,Spanish (Spain),"English (UK),English (US),German,Traditional Chinese (Hong Kong)"
TiltedPotato,"English (US),Tagalog","Japanese,Korean"
RitaChen25,Traditional Chinese (Taiwan),"English (UK),English (US)"
AkbarMna,"English (US),Malay","Japanese,Korean,Simplified Chinese (China)"
brianking0116,Spanish (Spain),"Japanese,Korean"
ibran12,Arabic,English (US)
Ruslan_Zolot,"English (UK),Russian,Ukrainian",Korean
xenia_violet,Russian,"English (US),Korean"
Viktoria1990,Russian,"English (US),Korean,Spanish (Venezuela)"
lizzeta,Russian,English (UK)
Shekinah,Tagalog,English (US)
kaliekol70,Spanish (Mexico),"English (UK),English (US)"
louris,English (US),English (US)
natkakubickova,Czech,"English (US),Japanese,Korean"
louris,English (US),English (US)
IraLir2017,Russian,English (US)
Rosanna93,"Catalan,Spanish (Spain)",English (UK)
Nadia_Maria,Polish,"English (US),English (UK)"
Lokkk,"Russian,Ukrainian","English (UK),English (US)"
skcurek,Polish,Norwegian (bokmal)
huncwot,Polish,"English (UK),Norwegian (bokmal),Russian,Spanish (Spain),German"
punkrocknique,English (US),"Khmer,Korean"
Anna_Maltseva,Russian,Korean
Zuzia_Sadlon,Polish,"Dutch,English (US)"
jula06r,Polish,"Czech,English (US)"
wolverinejack78,Traditional Chinese (Taiwan),"English (US),Korean,Japanese,Traditional Chinese (Taiwan),Simplified Chinese (China),Traditional Chinese (Hong Kong)"
olynkascheeva,Russian,English (US)
LaGaguiii,Spanish (Spain),"English (UK),French (France)"
nubar,,
Kwann,Thai,"English (UK),Japanese,Simplified Chinese (China)"
VanAnh272,Vietnamese,"English (US),Japanese"
Christina__Verner,Russian,English (US)
ValKolm,Russian,"English (UK),English (US),Norwegian (bokmal),Norwegian (nynorsk)"
zhanabdykaliev,Russian,English (UK)
gterroncastro_ES,Spanish (Spain),English (UK)
katyshka2111,Russian,English (US)
jeffwilliam,English (US),Japanese
yamaezing516,English (US),"Arabic,French (France)"
Evazoomber,Spanish (Spain),"English (US),Japanese"
joellyjoe,English (US),Japanese
Czerna,Polish,English (US)
mohammed6260,Arabic,English (US)
sssadil17,Russian,English (US)
ken222,"Traditional Chinese (Hong Kong),Simplified Chinese (China)","English (UK),English (US)"
jphelype,Portuguese (Brazil),"English (US),French (France),German,Japanese"
